timestamp,open,high,low,close,volume
2020-02-24,55.7800,55.9800,54.7100,54.7200,1524489
2020-02-21,57.1500,57.4050,56.2600,56.8500,1401485
2020-02-20,58.4900,58.4900,56.9200,57.4400,1026737
2020-02-19,58.2500,58.9000,58.1250,58.5900,938209
2020-02-18,57.9100,57.9900,57.0300,57.9200,1119553
2020-02-14,57.8400,58.0000,56.3800,57.8500,1150411
2020-02-13,58.0400,58.2100,57.3100,58.1100,860311
2020-02-12,57.9900,58.2150,57.5900,58.0100,1482492
2020-02-11,57.4800,58.2600,57.0600,58.0000,532228
2020-02-10,56.8600,57.4800,56.6500,57.4500,520255
2020-02-07,57.5600,57.6900,57.0700,57.1000,1254946
2020-02-06,56.6100,57.8300,56.6100,57.6000,938394
2020-02-05,56.9700,57.5600,56.6400,57.2200,1084164
2020-02-04,56.1400,56.8100,55.9900,56.5700,1081759
2020-02-03,56.2400,59.1700,55.5000,55.6200,1323968
2020-01-31,57.3800,58.4900,55.6400,56.0000,1625792
2020-01-30,58.7100,58.7100,57.1300,57.6300,1231014
2020-01-29,59.2900,59.3800,58.8800,58.9300,1022456
2020-01-28,59.7700,59.8700,59.0600,59.0800,1081519
2020-01-27,59.1500,60.4500,58.9700,59.7300,1255150
2020-01-24,59.6300,59.7500,58.4700,59.6600,975246
2020-01-23,60.6400,60.6400,59.1900,59.6600,914896
2020-01-22,60.4900,60.8700,60.1400,60.7100,2383845
2020-01-21,59.9300,60.6150,59.7500,60.3400,1415005
2020-01-17,60.0200,60.3700,59.6650,59.9600,1045473
2020-01-16,59.5000,60.2700,59.3400,60.1400,1562405
2020-01-15,58.6600,59.7800,58.5600,59.1000,1297278
2020-01-14,58.1000,58.7800,57.6300,58.7600,951050
2020-01-13,57.6600,58.2600,57.6450,58.1100,1156798
2020-01-10,57.6700,57.9700,57.1900,57.7900,882890
2020-01-09,57.5300,58.1100,57.3900,57.5500,1166838
2020-01-08,57.1500,57.7100,57.0700,57.5100,1001553
2020-01-07,56.3500,56.9800,56.2900,56.9100,792586
2020-01-06,56.0400,56.6800,56.0100,56.6100,751511
2020-01-03,56.2400,56.7700,55.8500,56.3000,909954
2020-01-02,56.8300,57.5100,56.1300,56.9300,1556612
2019-12-31,56.3700,56.7000,55.9500,56.5900,1210985
2019-12-30,56.6900,57.2250,56.2600,56.4000,1282988
2019-12-27,56.4400,56.9800,56.3000,56.8400,664689
2019-12-26,57.1200,57.1200,56.2200,56.5300,708819
2019-12-24,57.0300,57.3800,56.1900,57.2100,579350
2019-12-23,56.8600,57.3600,56.6700,57.1800,1162865
2019-12-20,57.5200,57.8059,56.6950,56.8500,3120901
2019-12-19,57.6700,57.6900,57.2550,57.4700,1071578
2019-12-18,57.6500,57.6600,57.0100,57.3800,1035534
2019-12-17,57.6800,57.9200,57.2600,57.5100,911619
2019-12-16,57.4300,58.0100,57.0750,57.5200,1355728
2019-12-13,56.8600,57.8300,56.1100,56.3800,901541
2019-12-12,57.0200,57.9900,56.6350,56.9400,1065241
2019-12-11,56.2500,57.0900,56.1800,56.7800,1781821
